"i","User ID","Ensembl Gene ID","Symbol","Gene Type","Species","Chr","Position (Mbp)"
45,"ENSG00000236597","ENSG00000236597","IGHD7-27","IG_D_gene","Human","14",105.865551
46,"ENSG00000211907","ENSG00000211907","IGHD1-26","IG_D_gene","Human","14",105.881034
47,"ENSG00000225825","ENSG00000225825","IGHD6-25","IG_D_gene","Human","14",105.881539
48,"ENSG00000211909","ENSG00000211909","IGHD5-24","IG_D_gene","Human","14",105.883903
49,"ENSG00000227196","ENSG00000227196","IGHD4-23","IG_D_gene","Human","14",105.88487
50,"ENSG00000211911","ENSG00000211911","IGHD3-22","IG_D_gene","Human","14",105.886031
51,"ENSG00000211912","ENSG00000211912","IGHD2-21","IG_D_gene","Human","14",105.888551
52,"ENSG00000237020","ENSG00000237020","IGHD1-20","IG_D_gene","Human","14",105.891191
53,"ENSG00000211914","ENSG00000211914","IGHD6-19","IG_D_gene","Human","14",105.891699
54,"ENSG00000211915","ENSG00000211915","IGHD5-18","IG_D_gene","Human","14",105.893542
55,"ENSG00000227800","ENSG00000227800","IGHD4-17","IG_D_gene","Human","14",105.894508
56,"ENSG00000211917","ENSG00000211917","IGHD3-16","IG_D_gene","Human","14",105.895634
57,"ENSG00000211918","ENSG00000211918","IGHD2-15","IG_D_gene","Human","14",105.897957
58,"ENSG00000227108","ENSG00000227108","IGHD1-14","IG_D_gene","Human","14",105.900638
59,"ENSG00000211920","ENSG00000211920","IGHD6-13","IG_D_gene","Human","14",105.901142
60,"ENSG00000211921","ENSG00000211921","IGHD5-12","IG_D_gene","Human","14",105.902649
61,"ENSG00000232543","ENSG00000232543","IGHD4-11","IG_D_gene","Human","14",105.903616
62,"ENSG00000211923","ENSG00000211923","IGHD3-10","IG_D_gene","Human","14",105.904497
63,"ENSG00000211924","ENSG00000211924","IGHD3-9","IG_D_gene","Human","14",105.904681
64,"ENSG00000211925","ENSG00000211925","IGHD2-8","IG_D_gene","Human","14",105.907211
65,"ENSG00000237197","ENSG00000237197","IGHD1-7","IG_D_gene","Human","14",105.909907
66,"ENSG00000228131","ENSG00000228131","IGHD6-6","IG_D_gene","Human","14",105.91041
67,"ENSG00000211928","ENSG00000211928","IGHD5-5","IG_D_gene","Human","14",105.912257
68,"ENSG00000233655","ENSG00000233655","IGHD4-4","IG_D_gene","Human","14",105.913222
69,"ENSG00000211930","ENSG00000211930","IGHD3-3","IG_D_gene","Human","14",105.914359
70,"ENSG00000211931","ENSG00000211931","IGHD2-2","IG_D_gene","Human","14",105.916826
71,"ENSG00000236170","ENSG00000236170","IGHD1-1","IG_D_gene","Human","14",105.919502
72,"ENSG00000270961","ENSG00000270961","IGHD5OR15-5A","IG_D_gene","Human","15",20.00384
73,"ENSG00000271317","ENSG00000271317","IGHD4OR15-4A","IG_D_gene","Human","15",20.004797
74,"ENSG00000282520","ENSG00000282520","IGHD3OR15-3A","IG_D_gene","Human","15",20.005905
75,"ENSG00000282599","ENSG00000282599","IGHD2OR15-2A","IG_D_gene","Human","15",20.008402
76,"ENSG00000271336","ENSG00000271336","IGHD1OR15-1A","IG_D_gene","Human","15",20.011153
77,"ENSG00000270824","ENSG00000270824","IGHD5OR15-5B","IG_D_gene","Human","15",21.010494
78,"ENSG00000270451","ENSG00000270451","IGHD4OR15-4B","IG_D_gene","Human","15",21.011451
79,"ENSG00000282089","ENSG00000282089","IGHD3OR15-3B","IG_D_gene","Human","15",21.012559
80,"ENSG00000282268","ENSG00000282268","IGHD2OR15-2B","IG_D_gene","Human","15",21.015048
81,"ENSG00000270185","ENSG00000270185","IGHD1OR15-1B","IG_D_gene","Human","15",21.0178
82,"ENSG00000282455","ENSG00000282455","IGHD7-27","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.866322
83,"ENSG00000282323","ENSG00000282323","IGHD1-26","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.881805
84,"ENSG00000282724","ENSG00000282724","IGHD6-25","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.88231
85,"ENSG00000282674","ENSG00000282674","IGHD5-24","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.884674
86,"ENSG00000282640","ENSG00000282640","IGHD4-23","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.885641
87,"ENSG00000282396","ENSG00000282396","IGHD3-22","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.886802
88,"ENSG00000281984","ENSG00000281984","IGHD2-21","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.889322
89,"ENSG00000282592","ENSG00000282592","IGHD1-20","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.891962
90,"ENSG00000282487","ENSG00000282487","IGHD6-19","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.89247
91,"ENSG00000282346","ENSG00000282346","IGHD5-18","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.894313
92,"ENSG00000282274","ENSG00000282274","IGHD4-17","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.895279
93,"ENSG00000282232","ENSG00000282232","IGHD3-16","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.896405
94,"ENSG00000282818","ENSG00000282818","IGHD2-15","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.898728
95,"ENSG00000282736","ENSG00000282736","IGHD1-14","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.901409
96,"ENSG00000282042","ENSG00000282042","IGHD6-13","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.901913
97,"ENSG00000282102","ENSG00000282102","IGHD5-12","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.90342
98,"ENSG00000281940","ENSG00000281940","IGHD4-11","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.904387
99,"ENSG00000282373","ENSG00000282373","IGHD3-10","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.905268
100,"ENSG00000281939","ENSG00000281939","IGHD3-9","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.905452
101,"ENSG00000282132","ENSG00000282132","IGHD2-8","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.907982
102,"ENSG00000282495","ENSG00000282495","IGHD1-7","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.910678
103,"ENSG00000282010","ENSG00000282010","IGHD6-6","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.911181
104,"ENSG00000282769","ENSG00000282769","IGHD5-5","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.913028
105,"ENSG00000282227","ENSG00000282227","IGHD4-4","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.913993
106,"ENSG00000282754","ENSG00000282754","IGHD3-3","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.91513
107,"ENSG00000282578","ENSG00000282578","IGHD2-2","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.917597
108,"ENSG00000282714","ENSG00000282714","IGHD1-1","IG_D_gene","Human","CHR_HSCHR14_3_CTG1",105.920273
109,"ENSG00000211593","ENSG00000211593","IGKJ5","IG_J_gene","Human","2",88.860568
110,"ENSG00000211594","ENSG00000211594","IGKJ4","IG_J_gene","Human","2",88.860886
111,"ENSG00000211595","ENSG00000211595","IGKJ3","IG_J_gene","Human","2",88.861221
112,"ENSG00000211596","ENSG00000211596","IGKJ2","IG_J_gene","Human","2",88.861525
113,"ENSG00000211597","ENSG00000211597","IGKJ1","IG_J_gene","Human","2",88.861886
114,"ENSG00000211900","ENSG00000211900","IGHJ6","IG_J_gene","Human","14",105.863198
115,"ENSG00000242472","ENSG00000242472","IGHJ5","IG_J_gene","Human","14",105.863814
116,"ENSG00000240041","ENSG00000240041","IGHJ4","IG_J_gene","Human","14",105.864215
117,"ENSG00000242887","ENSG00000242887","IGHJ3","IG_J_gene","Human","14",105.864587
118,"ENSG00000211904","ENSG00000211904","IGHJ2","IG_J_gene","Human","14",105.865199
119,"ENSG00000211905","ENSG00000211905","IGHJ1","IG_J_gene","Human","14",105.865407
120,"ENSG00000211674","ENSG00000211674","IGLJ1","IG_J_gene","Human","22",22.893692
121,"ENSG00000211676","ENSG00000211676","IGLJ2","IG_J_gene","Human","22",22.899481
122,"ENSG00000211678","ENSG00000211678","IGLJ3","IG_J_gene","Human","22",22.90485
123,"ENSG00000211680","ENSG00000211680","IGLJ4","IG_J_gene","Human","22",22.910574
124,"ENSG00000211681","ENSG00000211681","IGLJ5","IG_J_gene","Human","22",22.914237
125,"ENSG00000211682","ENSG00000211682","IGLJ6","IG_J_gene","Human","22",22.918132
126,"ENSG00000211684","ENSG00000211684","IGLJ7","IG_J_gene","Human","22",22.92139
127,"ENSG00000282797","ENSG00000282797","IGHJ6","IG_J_gene","Human","CHR_HSCHR14_3_CTG1",105.863969
128,"ENSG00000282615","ENSG00000282615","IGHJ5","IG_J_gene","Human","CHR_HSCHR14_3_CTG1",105.864585
129,"ENSG00000282065","ENSG00000282065","IGHJ4","IG_J_gene","Human","CHR_HSCHR14_3_CTG1",105.864986
130,"ENSG00000282471","ENSG00000282471","IGHJ3","IG_J_gene","Human","CHR_HSCHR14_3_CTG1",105.865358
131,"ENSG00000282342","ENSG00000282342","IGHJ2","IG_J_gene","Human","CHR_HSCHR14_3_CTG1",105.86597
132,"ENSG00000282409","ENSG00000282409","IGHJ1","IG_J_gene","Human","CHR_HSCHR14_3_CTG1",105.866178
133,"ENSG00000237111","ENSG00000237111","IGHJ3P","IG_J_pseudogene","Human","14",105.863416
134,"ENSG00000237547","ENSG00000237547","IGHJ2P","IG_J_pseudogene","Human","14",105.864793
135,"ENSG00000227335","ENSG00000227335","IGHJ1P","IG_J_pseudogene","Human","14",105.865624
136,"ENSG00000282541","ENSG00000282541","IGHJ3P","IG_J_pseudogene","Human","CHR_HSCHR14_3_CTG1",105.864187
137,"ENSG00000282778","ENSG00000282778","IGHJ2P","IG_J_pseudogene","Human","CHR_HSCHR14_3_CTG1",105.865564
138,"ENSG00000282672","ENSG00000282672","IGHJ1P","IG_J_pseudogene","Human","CHR_HSCHR14_3_CTG1",105.866395
139,"ENSG00000233999","ENSG00000233999","IGKV3OR2-268","IG_V_gene","Human","2",87.338511
140,"ENSG00000211598","ENSG00000211598","IGKV4-1","IG_V_gene","Human","2",88.885397
141,"ENSG00000211599","ENSG00000211599","IGKV5-2","IG_V_gene","Human","2",88.897232
142,"ENSG00000243466","ENSG00000243466","IGKV1-5","IG_V_gene","Human","2",88.947301
143,"ENSG00000239855","ENSG00000239855","IGKV1-6","IG_V_gene","Human","2",88.966262
144,"ENSG00000243063","ENSG00000243063","IGKV3-7","IG_V_gene","Human","2",88.978468
145,"ENSG00000240671","ENSG00000240671","IGKV1-8","IG_V_gene","Human","2",88.992409
146,"ENSG00000241755","ENSG00000241755","IGKV1-9","IG_V_gene","Human","2",89.009982
147,"ENSG00000241351","ENSG00000241351","IGKV3-11","IG_V_gene","Human","2",89.027171
148,"ENSG00000243290","ENSG00000243290","IGKV1-12","IG_V_gene","Human","2",89.040224
149,"ENSG00000244437","ENSG00000244437","IGKV3-15","IG_V_gene","Human","2",89.085177
150,"ENSG00000240864","ENSG00000240864","IGKV1-16","IG_V_gene","Human","2",89.099859
151,"ENSG00000240382","ENSG00000240382","IGKV1-17","IG_V_gene","Human","2",89.117342
152,"ENSG00000239951","ENSG00000239951","IGKV3-20","IG_V_gene","Human","2",89.142574
153,"ENSG00000211611","ENSG00000211611","IGKV6-21","IG_V_gene","Human","2",89.159751
154,"ENSG00000241294","ENSG00000241294","IGKV2-24","IG_V_gene","Human","2",89.176328
155,"ENSG00000244575","ENSG00000244575","IGKV1-27","IG_V_gene","Human","2",89.213423
156,"ENSG00000244116","ENSG00000244116","IGKV2-28","IG_V_gene","Human","2",89.221698
157,"ENSG00000243238","ENSG00000243238","IGKV2-30","IG_V_gene","Human","2",89.244781
158,"ENSG00000242076","ENSG00000242076","IGKV1-33","IG_V_gene","Human","2",89.266494
159,"ENSG00000239862","ENSG00000239862","IGKV1-37","IG_V_gene","Human","2",89.297264
160,"ENSG00000242371","ENSG00000242371","IGKV1-39","IG_V_gene","Human","2",89.319625
161,"ENSG00000273962","ENSG00000273962","IGKV2-40","IG_V_gene","Human","2",89.33011
162,"ENSG00000251039","ENSG00000251039","IGKV2D-40","IG_V_gene","Human","2",89.851791
163,"ENSG00000251546","ENSG00000251546","IGKV1D-39","IG_V_gene","Human","2",89.862482
164,"ENSG00000250036","ENSG00000250036","IGKV1D-37","IG_V_gene","Human","2",89.88474
165,"ENSG00000239975","ENSG00000239975","IGKV1D-33","IG_V_gene","Human","2",89.913982
166,"ENSG00000239571","ENSG00000239571","IGKV2D-30","IG_V_gene","Human","2",89.936859
167,"ENSG00000243264","ENSG00000243264","IGKV2D-29","IG_V_gene","Human","2",89.947512
168,"ENSG00000242534","ENSG00000242534","IGKV2D-28","IG_V_gene","Human","2",89.959979
169,"ENSG00000211623","ENSG00000211623","IGKV2D-26","IG_V_gene","Human","2",89.985922
170,"ENSG00000241566","ENSG00000241566","IGKV2D-24","IG_V_gene","Human","2",90.004797
171,"ENSG00000225523","ENSG00000225523","IGKV6D-21","IG_V_gene","Human","2",90.021567
172,"ENSG00000211625","ENSG00000211625","IGKV3D-20","IG_V_gene","Human","2",90.038848
173,"ENSG00000211626","ENSG00000211626","IGKV6D-41","IG_V_gene","Human","2",90.069662
174,"ENSG00000242766","ENSG00000242766","IGKV1D-17","IG_V_gene","Human","2",90.082635
175,"ENSG00000241244","ENSG00000241244","IGKV1D-16","IG_V_gene","Human","2",90.100236
176,"ENSG00000224041","ENSG00000224041","IGKV3D-15","IG_V_gene","Human","2",90.114838
177,"ENSG00000276566","ENSG00000276566","IGKV1D-13","IG_V_gene","Human","2",90.154073
178,"ENSG00000278857","ENSG00000278857","IGKV1D-12","IG_V_gene","Human","2",90.15984
179,"ENSG00000211632","ENSG00000211632","IGKV3D-11","IG_V_gene","Human","2",90.172802
180,"ENSG00000211633","ENSG00000211633","IGKV1D-42","IG_V_gene","Human","2",90.190193
181,"ENSG00000242580","ENSG00000242580","IGKV1D-43","IG_V_gene","Human","2",90.209873
182,"ENSG00000239819","ENSG00000239819","IGKV1D-8","IG_V_gene","Human","2",90.220727
183,"ENSG00000228325","ENSG00000228325","IGKV3D-7","IG_V_gene","Human","2",90.234812
184,"ENSG00000231292","ENSG00000231292","IGKV1OR2-108","IG_V_gene","Human","2",113.406396
185,"ENSG00000211933","ENSG00000211933","IGHV6-1","IG_V_gene","Human","14",105.939756
186,"ENSG00000211934","ENSG00000211934","IGHV1-2","IG_V_gene","Human","14",105.986582
187,"ENSG00000211935","ENSG00000211935","IGHV1-3","IG_V_gene","Human","14",106.005095
188,"ENSG00000276775","ENSG00000276775","IGHV4-4","IG_V_gene","Human","14",106.011922
189,"ENSG00000282122","ENSG00000282122","IGHV7-4-1","IG_V_gene","Human","14",106.025145
190,"ENSG00000211937","ENSG00000211937","IGHV2-5","IG_V_gene","Human","14",106.037902
191,"ENSG00000211938","ENSG00000211938","IGHV3-7","IG_V_gene","Human","14",106.062151
192,"ENSG00000282639","ENSG00000282639","IGHV3-64D","IG_V_gene","Human","14",106.088122
193,"ENSG00000282651","ENSG00000282651","IGHV5-10-1","IG_V_gene","Human","14",106.107972
194,"ENSG00000211941","ENSG00000211941","IGHV3-11","IG_V_gene","Human","14",106.116635
195,"ENSG00000211942","ENSG00000211942","IGHV3-13","IG_V_gene","Human","14",106.12954
196,"ENSG00000211943","ENSG00000211943","IGHV3-15","IG_V_gene","Human","14",106.153624
197,"ENSG00000211944","ENSG00000211944","IGHV3-16","IG_V_gene","Human","14",106.165205
198,"ENSG00000211945","ENSG00000211945","IGHV1-18","IG_V_gene","Human","14",106.184901
199,"ENSG00000211946","ENSG00000211946","IGHV3-20","IG_V_gene","Human","14",106.210936
200,"ENSG00000211947","ENSG00000211947","IGHV3-21","IG_V_gene","Human","14",106.235064
201,"ENSG00000211949","ENSG00000211949","IGHV3-23","IG_V_gene","Human","14",106.268606
202,"ENSG00000211950","ENSG00000211950","IGHV1-24","IG_V_gene","Human","14",106.276548
203,"ENSG00000211951","ENSG00000211951","IGHV2-26","IG_V_gene","Human","14",106.301396
204,"ENSG00000211952","ENSG00000211952","IGHV4-28","IG_V_gene","Human","14",106.324254
205,"ENSG00000270550","ENSG00000270550","IGHV3-30","IG_V_gene","Human","14",106.335082
206,"ENSG00000231475","ENSG00000231475","IGHV4-31","IG_V_gene","Human","14",106.349283
207,"ENSG00000211955","ENSG00000211955","IGHV3-33","IG_V_gene","Human","14",106.359793
208,"ENSG00000211956","ENSG00000211956","IGHV4-34","IG_V_gene","Human","14",106.373663
209,"ENSG00000211957","ENSG00000211957","IGHV3-35","IG_V_gene","Human","14",106.389392
210,"ENSG00000211958","ENSG00000211958","IGHV3-38","IG_V_gene","Human","14",106.410493
211,"ENSG00000211959","ENSG00000211959","IGHV4-39","IG_V_gene","Human","14",106.421711
212,"ENSG00000232216","ENSG00000232216","IGHV3-43","IG_V_gene","Human","14",106.470264
213,"ENSG00000211961","ENSG00000211961","IGHV1-45","IG_V_gene","Human","14",106.506996
214,"ENSG00000211962","ENSG00000211962","IGHV1-46","IG_V_gene","Human","14",106.511117
215,"ENSG00000211964","ENSG00000211964","IGHV3-48","IG_V_gene","Human","14",106.53781
216,"ENSG00000211965","ENSG00000211965","IGHV3-49","IG_V_gene","Human","14",106.556936
217,"ENSG00000211966","ENSG00000211966","IGHV5-51","IG_V_gene","Human","14",106.578744
218,"ENSG00000211967","ENSG00000211967","IGHV3-53","IG_V_gene","Human","14",106.592676
219,"ENSG00000211968","ENSG00000211968","IGHV1-58","IG_V_gene","Human","14",106.622357
220,"ENSG00000224373","ENSG00000224373","IGHV4-59","IG_V_gene","Human","14",106.627249
221,"ENSG00000211970","ENSG00000211970","IGHV4-61","IG_V_gene","Human","14",106.639119
222,"ENSG00000223648","ENSG00000223648","IGHV3-64","IG_V_gene","Human","14",106.657725
223,"ENSG00000211972","ENSG00000211972","IGHV3-66","IG_V_gene","Human","14",106.675017
224,"ENSG00000211973","ENSG00000211973","IGHV1-69","IG_V_gene","Human","14",106.714684
225,"ENSG00000211974","ENSG00000211974","IGHV2-70D","IG_V_gene","Human","14",106.723574
226,"ENSG00000281990","ENSG00000281990","IGHV1-69-2","IG_V_gene","Human","14",106.73711
227,"ENSG00000280411","ENSG00000280411","IGHV1-69D","IG_V_gene","Human","14",106.762092
228,"ENSG00000274576","ENSG00000274576","IGHV2-70","IG_V_gene","Human","14",106.770577
229,"ENSG00000225698","ENSG00000225698","IGHV3-72","IG_V_gene","Human","14",106.790691
230,"ENSG00000211976","ENSG00000211976","IGHV3-73","IG_V_gene","Human","14",106.802694
231,"ENSG00000224650","ENSG00000224650","IGHV3-74","IG_V_gene","Human","14",106.810442
232,"ENSG00000211979","ENSG00000211979","IGHV7-81","IG_V_gene","Human","14",106.874583
233,"ENSG00000188403","ENSG00000188403","IGHV1OR15-9","IG_V_gene","Human","15",19.964666
234,"ENSG00000259490","ENSG00000259490","IGHV3OR15-7","IG_V_gene","Human","15",19.987656
235,"ENSG00000281179","ENSG00000281179","","IG_V_gene","Human","15",21.717808
236,"ENSG00000278263","ENSG00000278263","","IG_V_gene","Human","15",21.742364
237,"ENSG00000270505","ENSG00000270505","IGHV1OR15-1","IG_V_gene","Human","15",22.160431
238,"ENSG00000259261","ENSG00000259261","IGHV4OR15-8","IG_V_gene","Human","15",22.184967
239,"ENSG00000270472","ENSG00000270472","IGHV3OR16-9","IG_V_gene","Human","16",32.066065
240,"ENSG00000259303","ENSG00000259303","IGHV2OR16-5","IG_V_gene","Human","16",32.847713
241,"ENSG00000233732","ENSG00000233732","IGHV3OR16-10","IG_V_gene","Human","16",32.995048
242,"ENSG00000271130","ENSG00000271130","IGHV3OR16-8","IG_V_gene","Human","16",33.009175
243,"ENSG00000270467","ENSG00000270467","IGHV3OR16-12","IG_V_gene","Human","16",33.802764
244,"ENSG00000271178","ENSG00000271178","IGHV3OR16-13","IG_V_gene","Human","16",33.827214
245,"ENSG00000277282","ENSG00000277282","IGHV1OR21-1","IG_V_gene","Human","21",10.6494
246,"ENSG00000211637","ENSG00000211637","IGLV4-69","IG_V_gene","Human","22",22.030934
247,"ENSG00000211642","ENSG00000211642","IGLV10-54","IG_V_gene","Human","22",22.038643
248,"ENSG00000211638","ENSG00000211638","IGLV8-61","IG_V_gene","Human","22",22.0987
249,"ENSG00000211639","ENSG00000211639","IGLV4-60","IG_V_gene","Human","22",22.162199
250,"ENSG00000211640","ENSG00000211640","IGLV6-57","IG_V_gene","Human","22",22.195799
251,"ENSG00000211641","ENSG00000211641","IGLV11-55","IG_V_gene","Human","22",22.201663
252,"ENSG00000211643","ENSG00000211643","IGLV5-52","IG_V_gene","Human","22",22.318727
253,"ENSG00000211644","ENSG00000211644","IGLV1-51","IG_V_gene","Human","22",22.322472
254,"ENSG00000211645","ENSG00000211645","IGLV1-50","IG_V_gene","Human","22",22.3273
255,"ENSG00000223350","ENSG00000223350","IGLV9-49","IG_V_gene","Human","22",22.343187
256,"ENSG00000211647","ENSG00000211647","IGLV5-48","IG_V_gene","Human","22",22.35294
257,"ENSG00000211648","ENSG00000211648","IGLV1-47","IG_V_gene","Human","22",22.357739
258,"ENSG00000211649","ENSG00000211649","IGLV7-46","IG_V_gene","Human","22",22.369614
259,"ENSG00000211650","ENSG00000211650","IGLV5-45","IG_V_gene","Human","22",22.375986
260,"ENSG00000211651","ENSG00000211651","IGLV1-44","IG_V_gene","Human","22",22.380766
261,"ENSG00000211652","ENSG00000211652","IGLV7-43","IG_V_gene","Human","22",22.395018
262,"ENSG00000211653","ENSG00000211653","IGLV1-40","IG_V_gene","Human","22",22.409766
263,"ENSG00000211654","ENSG00000211654","IGLV5-37","IG_V_gene","Human","22",22.42754
264,"ENSG00000211655","ENSG00000211655","IGLV1-36","IG_V_gene","Human","22",22.431958
265,"ENSG00000211656","ENSG00000211656","IGLV2-33","IG_V_gene","Human","22",22.588155
266,"ENSG00000211657","ENSG00000211657","IGLV3-32","IG_V_gene","Human","22",22.594528
267,"ENSG00000211658","ENSG00000211658","IGLV3-27","IG_V_gene","Human","22",22.668288
268,"ENSG00000211659","ENSG00000211659","IGLV3-25","IG_V_gene","Human","22",22.686726
269,"ENSG00000211660","ENSG00000211660","IGLV2-23","IG_V_gene","Human","22",22.697789
270,"ENSG00000211661","ENSG00000211661","IGLV3-22","IG_V_gene","Human","22",22.704265
271,"ENSG00000211662","ENSG00000211662","IGLV3-21","IG_V_gene","Human","22",22.711689
272,"ENSG00000211663","ENSG00000211663","IGLV3-19","IG_V_gene","Human","22",22.720623
273,"ENSG00000211664","ENSG00000211664","IGLV2-18","IG_V_gene","Human","22",22.734607
274,"ENSG00000211665","ENSG00000211665","IGLV3-16","IG_V_gene","Human","22",22.747383
275,"ENSG00000211666","ENSG00000211666","IGLV2-14","IG_V_gene","Human","22",22.7587
276,"ENSG00000211667","ENSG00000211667","IGLV3-12","IG_V_gene","Human","22",22.771824
277,"ENSG00000211668","ENSG00000211668","IGLV2-11","IG_V_gene","Human","22",22.792491
278,"ENSG00000211669","ENSG00000211669","IGLV3-10","IG_V_gene","Human","22",22.811747
279,"ENSG00000211670","ENSG00000211670","IGLV3-9","IG_V_gene","Human","22",22.81901
